Trattamento,Codice
Benefit art.51 c.3,371
Benefit art.100,370
Benefit art.51 c.2 let d-bis,385
Benefit art.51 c.2 let f-bis,370
Benefit art.51 c.2 let f-ter,370
art. 51 co. 3,371
F.di Previdenziali,382
Voucher Fringe Benefit,371
Rimb. art. 51 comma 2 lett. a,380
Rimb. art. 51 comma 2 lett. d-bis,377
Serv. art 51 comma 2 lett. h,382
Art.51 comma 2 lettera f,370
Art. 51 comma 3 lett. b,371
art. 51 co. 2 lett. f-bis,373
art. 51 co. 2 lett f,370
Rimb. art. 51 comma 2 lett. f-bis,372
Rimb. art. 51 comma 2 lett. f-ter,376
Consumo fringe benefit ART.51 C.3,371
BUONO PARTNER EDENRED,371
TICKET COMPLIMENTS TOP PREMIUM,371
VOUCHER TICKET WELFARE - SPORT E BENESSERE,370
VOUCHER TICKET WELFARE - SANITA,380
CODICI ONLINE EXPERIENCE,370
VOUCHER TICKET WELFARE - CULTURA E DIVERTIMENTO,370
RIMBORSO SPESE SCOLASTICHE,386
FONDO DI PREVIDENZA,382
TICKET COMPLIMENTS SELECTION,371
VOUCHER TICKET WELFARE - VIAGGI,370
TICKET COMPLIMENTS SPESA,371
"Art.51 c.2, f bis",373
Art.100 c.1,370
"Art.51 c.2, d bis",377
"Art.51 c.2, a",380
art. 51 co. 2 lett. h,382
RIMBORSO SPESE MEDICHE,380
art. 51 co. 2 lett. d-bis,377
art. 51 c. 2 lett. a,380
art100,370
fringe,371
cu33,372
rboll,194
art. 51 comma 2 lett a,380
Richiesta Voucher Fringe,371
Richiesta Voucher Welfare,371
Richiesta Rimborso,379
Richiesta Voucher,370
art. 51 co. 3 utenze,194
"LEGGE 30 dicembre 2023, n. 213, art. 1 commi 16-17; consumo fringe benefit  ART.51 C.3",194
art. 51 co. 3 mutui,194
Consumo benefit ART.51 C.2 lett.H,382
Consumo benefit da art. 100 C.1,370